Line Segments
0, 0, 36898, 0
36898, 0, 36898, -400615
36898, -400615, 199397, -400615
199397, -400615, 199397, -853186
199397, -853186, 473755, -853186
473755, -853186, 473755, -1010854
473755, -1010854, 778709, -1010854
778709, -1010854, 778709, -1066796
778709, -1066796, 490829, -1066796
490829, -1066796, 490829, -1486485
490829, -1486485, 36898, -1486485
36898, -1486485, 36898, -1613442
36898, -1613442, -526474, -1613442
-526474, -1613442, -526474, -1979757
-526474, -1979757, -830088, -1979757
-830088, -1979757, -830088, -2096796
-830088, -2096796, -555771, -2096796
-555771, -2096796, -555771, -2478669
-555771, -2478669, -387518, -2478669
-387518, -2478669, -387518, -2582119
-387518, -2582119, -124949, -2582119
-124949, -2582119, -124949, -2478669
-124949, -2478669, 199642, -2478669
199642, -2478669, 199642, -2821610
199642, -2821610, 257658, -2821610
257658, -2821610, 257658, -2953042
257658, -2953042, 603700, -2953042
603700, -2953042, 603700, -3371572
603700, -3371572, 1133319, -3371572
1133319, -3371572, 1133319, -2953042
1133319, -2953042, 1188262, -2953042
1188262, -2953042, 1188262, -2821610
1188262, -2821610, 1834035, -2821610
1834035, -2821610, 1834035, -3067100
1834035, -3067100, 1689194, -3067100
1689194, -3067100, 1689194, -3297926
1689194, -3297926, 2236282, -3297926
2236282, -3297926, 2236282, -3775269
2236282, -3775269, 2529532, -3775269
2529532, -3775269, 2529532, -3922145
2529532, -3922145, 2270450, -3922145
2270450, -3922145, 2270450, -4136659
2270450, -4136659, 2291994, -4136659
2291994, -4136659, 2291994, -4648023
2291994, -4648023, 2270450, -4648023
2270450, -4648023, 2270450, -4651468
2270450, -4651468, 1970098, -4651468
1970098, -4651468, 1970098, -4643994
1970098, -4643994, 2048428, -4643994
2048428, -4643994, 2048428, -4218242
2048428, -4218242, 1970098, -4218242
1970098, -4218242, 1970098, -3922145
1970098, -3922145, 1689194, -3922145
1689194, -3922145, 1689194, -4188137
1689194, -4188137, 1190745, -4188137
1190745, -4188137, 1190745, -4204425
1190745, -4204425, 1834035, -4204425
1834035, -4204425, 1834035, -4477410
1834035, -4477410, 1173348, -4477410
1173348, -4477410, 1173348, -4418186
1173348, -4418186, 1060944, -4418186
1060944, -4418186, 1060944, -3811012
1060944, -3811012, 909118, -3811012
909118, -3811012, 909118, -3678983
909118, -3678983, 416913, -3678983
416913, -3678983, 416913, -4037776
416913, -4037776, -245650, -4037776
-245650, -4037776, -245650, -4418186
-245650, -4418186, -278105, -4418186
-278105, -4418186, -278105, -4477410
-278105, -4477410, -830088, -4477410
-830088, -4477410, -830088, -4663467
-830088, -4663467, -635113, -4663467
-635113, -4663467, -635113, -5042498
-635113, -5042498, -325417, -5042498
-325417, -5042498, -325417, -5584250
-325417, -5584250, 36898, -5584250
36898, -5584250, 36898, -5617875
36898, -5617875, 62864, -5617875
62864, -5617875, 62864, -5620572
62864, -5620572, 395168, -5620572
395168, -5620572, 395168, -5668718
395168, -5668718, 778479, -5668718
778479, -5668718, 778479, -6016861
778479, -6016861, 1028147, -6016861
1028147, -6016861, 1028147, -6232847
1028147, -6232847, 1218754, -6232847
1218754, -6232847, 1218754, -6103640
1218754, -6103640, 1392500, -6103640
1392500, -6103640, 1392500, -5491588
1392500, -5491588, 1686877, -5491588
1686877, -5491588, 1686877, -5437030
1686877, -5437030, 2104875, -5437030
2104875, -5437030, 2104875, -5397096
2104875, -5397096, 2396146, -5397096
2396146, -5397096, 2396146, -5282616
2396146, -5282616, 2616658, -5282616
2616658, -5282616, 2616658, -4988413
2616658, -4988413, 2659154, -4988413
2659154, -4988413, 2659154, -4279866
2659154, -4279866, 2704855, -4279866
2704855, -4279866, 2704855, -4237795
2704855, -4237795, 3265237, -4237795
3265237, -4237795, 3265237, -3947073
3265237, -3947073, 3596654, -3947073
3596654, -3947073, 3596654, -3701647
3596654, -3701647, 3106519, -3701647
3106519, -3701647, 3106519, -3156008
3106519, -3156008, 2616658, -3156008
2616658, -3156008, 2616658, -3086241
2616658, -3086241, 2992302, -3086241
2992302, -3086241, 2992302, -2729853
2992302, -2729853, 3149657, -2729853
3149657, -2729853, 3149657, -2552593
3149657, -2552593, 3663006, -2552593
3663006, -2552593, 3663006, -2209261
3663006, -2209261, 3504095, -2209261
3504095, -2209261, 3504095, -1686036
3504095, -1686036, 3496521, -1686036
3496521, -1686036, 3496521, -1644399
3496521, -1644399, 2822268, -1644399
2822268, -1644399, 2822268, -1407017
2822268, -1407017, 3116625, -1407017
3116625, -1407017, 3116625, -1047776
3116625, -1047776, 3483211, -1047776
3483211, -1047776, 3483211, -1407017
3483211, -1407017, 3663006, -1407017
3663006, -1407017, 3663006, -1209159
3663006, -1209159, 3898660, -1209159
3898660, -1209159, 3898660, -1590469
3898660, -1590469, 4311295, -1590469
4311295, -1590469, 4311295, -2169958
4311295, -2169958, 4470505, -2169958
4470505, -2169958, 4470505, -2552593
4470505, -2552593, 4853425, -2552593
4853425, -2552593, 4853425, -2676462
4853425, -2676462, 5243607, -2676462
5243607, -2676462, 5243607, -2383567
5243607, -2383567, 4609512, -2383567
4609512, -2383567, 4609512, -2203666
4609512, -2203666, 4545749, -2203666
4545749, -2203666, 4545749, -1944670
4545749, -1944670, 5243607, -1944670
5243607, -1944670, 5243607, -1736134
5243607, -1736134, 5372152, -1736134
5372152, -1736134, 5372152, -1662987
5372152, -1662987, 5437118, -1662987
5437118, -1662987, 5437118, -1803723
5437118, -1803723, 5611575, -1803723
5611575, -1803723, 5611575, -2004348
5611575, -2004348, 5732800, -2004348
5732800, -2004348, 5732800, -2329207
5732800, -2329207, 5611575, -2329207
5611575, -2329207, 5611575, -2676462
5611575, -2676462, 5989739, -2676462
5989739, -2676462, 5989739, -2950075
5989739, -2950075, 6433632, -2950075
6433632, -2950075, 6433632, -3297702
6433632, -3297702, 6648230, -3297702
6648230, -3297702, 6648230, -3660179
6648230, -3660179, 6987588, -3660179
6987588, -3660179, 6987588, -3843034
6987588, -3843034, 6591656, -3843034
6591656, -3843034, 6591656, -4132434
6591656, -4132434, 6987588, -4132434
6987588, -4132434, 6987588, -4413902
6987588, -4413902, 7310737, -4413902
7310737, -4413902, 7310737, -4806999
7310737, -4806999, 6777554, -4806999
6777554, -4806999, 6777554, -4886343
6777554, -4886343, 6215114, -4886343
6215114, -4886343, 6215114, -5270662
6215114, -5270662, 5989739, -5270662
5989739, -5270662, 5989739, -5479760
5989739, -5479760, 6283010, -5479760
6283010, -5479760, 6283010, -5901965
6283010, -5901965, 6737574, -5901965
6737574, -5901965, 6737574, -6010585
6737574, -6010585, 6925067, -6010585
6925067, -6010585, 6925067, -6232847
6925067, -6232847, 7430400, -6232847
7430400, -6232847, 7430400, -5773177
7430400, -5773177, 7283479, -5773177
7283479, -5773177, 7283479, -5803190
7283479, -5803190, 6798539, -5803190
6798539, -5803190, 6798539, -5773177
6798539, -5773177, 6390769, -5773177
6390769, -5773177, 6390769, -5525444
